# X Y Ux Uy Magnitude
427.55 368.148 0.427758 -0.122117 0.444848
417.948 362.841 0.418613 -0.120536 0.435621
409 356.492 0.410001 -0.118783 0.426861
400.819 349.181 0.402028 -0.116784 0.418647
393.508 341 0.394803 -0.114508 0.411074
387.159 332.052 0.388441 -0.111971 0.404257
381.852 322.45 0.383117 -0.109216 0.398381
377.654 312.313 0.378797 -0.106285 0.393425
374.616 301.771 0.375576 -0.103305 0.389524
372.779 290.954 0.373498 -0.10036 0.386747
372.163 280 0.372536 -0.0974975 0.385083
372.779 269.046 0.372687 -0.0947693 0.384548
374.616 258.229 0.373962 -0.0922154 0.385164
377.654 247.687 0.376402 -0.0898466 0.386977
381.852 237.55 0.380052 -0.087645 0.390027
387.159 227.948 0.384899 -0.0855751 0.394297
393.508 219 0.390934 -0.0834954 0.399751
400.819 210.819 0.398075 -0.081385 0.406309
409 203.508 0.406213 -0.0792938 0.413879
417.948 197.159 0.415195 -0.0773345 0.422336
427.55 191.852 0.424842 -0.0756657 0.431528
437.687 187.654 0.434982 -0.0744628 0.44131
448.229 184.616 0.445463 -0.0738821 0.451548
459.046 182.779 0.456138 -0.0738697 0.462081
470 182.163 0.466913 -0.0744487 0.472811
480.954 182.779 0.477657 -0.0755008 0.483587
491.771 184.616 0.488205 -0.0768595 0.494218
502.313 187.654 0.498396 -0.0783327 0.504514
512.45 191.852 0.508094 -0.0797815 0.514319
522.052 197.159 0.517183 -0.0811018 0.523504
531 203.508 0.525587 -0.0823474 0.531999
539.181 210.819 0.533216 -0.083683 0.539743
546.492 219 0.540022 -0.0852088 0.546703
552.841 227.948 0.545959 -0.0870472 0.552855
558.148 237.55 0.551004 -0.0892335 0.558183
562.346 247.687 0.55518 -0.0917074 0.562704
565.384 258.229 0.558475 -0.0944111 0.566399
567.221 269.046 0.560778 -0.0972986 0.569157
793.612 335.66 0.789187 -0.125388 0.799086
791.823 346.186 0.787471 -0.128318 0.797857
788.867 356.446 0.784542 -0.131183 0.795434
784.782 366.31 0.780464 -0.133972 0.791879
779.617 375.655 0.775292 -0.13666 0.787244
773.438 384.363 0.769094 -0.139213 0.781592
766.324 392.324 0.761939 -0.1416 0.774985
758.363 399.438 0.753933 -0.143729 0.76751
749.655 405.617 0.745145 -0.145514 0.759221
740.31 410.782 0.735721 -0.146851 0.750233
730.446 414.867 0.725818 -0.147628 0.740679
